Batting,,R,B,M,4s,6s,SR
Michael van Lingen,c Pramod Madushan b Chameera,3,6,7,0,0,50.00
Divan la Cock,c Shanaka b Pramod Madushan,9,9,15,1,0,100.00
Jan Nicol Loftie-Eaton,c †Mendis b Karunaratne,20,12,18,1,2,166.66
Stephan Baard,c de Silva b Pramod Madushan,26,24,49,2,0,108.33
Gerhard Erasmus (c),c Gunathilaka b Hasaranga,20,24,30,0,0,83.33
Jan Frylinck,run out (Gunathilaka/†Mendis),44,28,44,4,0,157.14
David Wiese,c †Mendis b Theekshana,0,1,4,0,0,0.00
JJ Smit,not out,31,16,29,2,2,193.75
